,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l1,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,ece_l2,mce,mce,mce,mce,mce,mce,mce,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l1_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound,ece_l2_bound
,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg,confidnet,confidnet,devries,devries,dg,dg,dg
,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration,drop_out,calibration,drop_out,calibration,drop_out,reward,calibration
methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCD-NeCo,do1,Sigmoid,do1,Sigmoid,do1,2.2,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid
MCD-MLS,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,2.2,Beta
MCD-EMLS,do1,Sigmoid,do1,Beta,do1,12.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,2.2,Beta
MCD-EGE,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Isotonic
MCD-EPCE,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-ENeCo,do1,Sigmoid,do1,Sigmoid,do1,2.2,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Sigmoid,do1,Beta,do1,10.0,Sigmoid
MCD-GEN,do1,Beta,do1,Beta,do1,15.0,Sigmoid,do1,Beta,do1,Beta,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-EGEN,do1,Sigmoid,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-NNGuide,do1,Sigmoid,do1,Sigmoid,do1,2.2,Beta,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-EREN,do1,Beta,do1,Beta,do1,6.0,Sigmoid,do1,Beta,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-REN,do1,Beta,do1,Beta,do1,15.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-MSR,do1,Isotonic,do1,Beta,do1,2.2,Beta,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Sigmoid,do1,Beta,do1,12.0,Beta,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-EEnergy,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,12.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,12.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-CTMmeanOC,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-ENNGuide,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-KPCA RecError global,do1,Beta,do1,Beta,do1,2.2,Isotonic,do1,Beta,do1,Sigmoid,do1,20.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Isotonic
MCD-CTMmean,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-EMSR,do1,Beta,do1,Beta,do1,20.0,Beta,do1,Beta,do1,Beta,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-pNML,do1,Beta,do1,Sigmoid,do1,12.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Beta,do1,Sigmoid,do1,15.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-ECTMmeanOC,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-EpNML,do1,Isotonic,do1,Sigmoid,do1,3.0,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,15.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,2.2,Beta
MCD-Energy,do1,Sigmoid,do1,Isotonic,do1,20.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,20.0,Sigmoid,do1,Sigmoid,do1,Beta,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Beta
MCD-ECTMmean,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Beta,do1,Beta,do1,2.2,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Beta,do1,20.0,Beta
MCD-MI,do1,Beta,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,6.0,Isotonic,do1,Isotonic,do1,Beta,do1,20.0,Beta
MCD-GradNorm,do1,Sigmoid,do1,Beta,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,20.0,Sigmoid,do1,Sigmoid,do1,Sigmoid,do1,6.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Sigmoid,do1,Beta,do1,2.2,Isotonic
MCD-Confidence,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Beta,do1,Beta,do1,12.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,10.0,Beta,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-PCA RecError global,do1,Beta,do1,Isotonic,do1,6.0,Isotonic,do1,Beta,do1,Beta,do1,2.2,Isotonic,do1,Beta,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-ViM,do1,Beta,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Isotonic,do1,2.2,Isotonic,do1,Isotonic,do1,Isotonic,do1,15.0,Beta,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Beta,do1,Isotonic,do1,20.0,Beta
MCD-fDBD,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Isotonic,do1,Beta,do1,2.2,Isotonic,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,20.0,Isotonic,do1,Isotonic,do1,Isotonic,do1,20.0,Beta
MCD-EfDBD,do1,Isotonic,do1,Beta,do1,15.0,Isotonic,do1,Beta,do1,Beta,do1,3.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,3.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Beta,do1,2.2,Beta
MCD-CTM,do1,Isotonic,do1,Isotonic,do1,15.0,Isotonic,do1,Beta,do1,Isotonic,do1,6.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,6.0,Beta,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Beta,do1,Isotonic,do1,2.2,Isotonic
MCD-ECTM,do1,Beta,do1,Isotonic,do1,15.0,Beta,do1,Beta,do1,Beta,do1,15.0,Beta,do1,Sigmoid,do1,Sigmoid,do1,20.0,Sigmoid,do1,Isotonic,do1,Isotonic,do1,2.2,Isotonic,do1,Isotonic,do1,Isotonic,do1,2.2,Beta
